,0813title,0813code,webtoon_from_kor,author,ending_Y/N,주2회연재
280,Lore Olympus,1320,로어 올림푸스,레이첼 스마이스,N,750558
281,The Remarried Empress,2135,재혼황후,"알파타르트,히어리 / 수풀",Y,
282,My Gently Raised Beast,2606,,,,
283,Castle Swimmer,1499,,,,
284,LUMINE,1022,,,,
285,Not Even Bones,1756,,,,
286,Jackson's Diary,2446,,,,
287,I'm the Grim Reaper,1697,,,,
288,The Newlywed Diary of a Witch and a Dragon,2448,,,,
289,Blades of Furry,2383,,,,
290,There Must Be Happy Endings,3065,,,,
291,Lookism,1049,외모지상주의,박태준,N,641253
292,Get Schooled,2684,참교육,채용택 / 한가람,N,758037
293,Everywhere & Nowhere,1598,,,,
294,Half-Ghost,2765,,,,
295,Before We Knew It,1972,,,,
296,Anti-Monster Force,2970,,,,
297,LoveBot,2324,,,,
298,Blood-Ink,1490,,,,
299,SAMADHI,3049,,,,
300,Lovely Hell,3181,,,,
301,Live with Yourself!,919,,,,
302,After School Lessons for Unripe Apples,3093,세기말 풋사과 보습학원,순끼,N,761722
303,Mystical,2128,신비,반지,N,740487
304,Hanlim Gym,2850,,,,
305,There's Love Hidden in Lies,2467,,,,
306,Smity and Majesty,2706,,,,
307,Covenant,2011,,,,
308,CARL,1216,,,,
309,Tales of the Unusual,68,기기괴괴,오성대,N,557672
310,The World is Money and Power,2615,세상은 돈과 권력,한동우 / 이도희,N,710747
311,Small World,1159,,,,
312,Stray Souls,2018,,,,
313,Seed,1480,,,,
314,IF,1925,,,,
315,Asterion,2471,,,,
316,American Road Trip,2209,,,,
318,The Shadow Prophet,1881,,,,
319,My Dictator Boyfriend,1391,,,,
320,HEART Anthology,2191,,,,
321,BRAIN Anthology,2207,,,,
